generation,full_path,filename,size,modified_utc,sha256,comparison_status,hash_movement,fresh_generation_role
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.4.log","error.4.log","524190","2026-08-09T18:57:21.736034+00:00","6FC784948698DB2534BFF90C5F7A1CB42AA0660690F9E1F9E260745E71FCCE6C","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.5.log","error.5.log","524247","2026-08-09T18:57:21.076173+00:00","7AFD8C155A30B3139BE05ECA8DE61750EDD3E647A3E5CA51566FAE201FAAA551","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","430995","2026-08-09T18:57:25.574680+00:00","BF11F87433CF7739F92B93B0EE4A1FA940136DF177B7100369FC7C7BEB3679E0","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.1.log","game.1.log","524160","2026-08-09T18:57:23.028372+00:00","08981F822A0642E6EA8FAE709E03D63F60C21973CF77D8072698ECF4BA4573C0","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.2.log","game.2.log","524164","2026-08-09T18:57:22.916793+00:00","87226930F73F698194B80A30F8E4F0A0874158983073ABE063C4A91A951CC0BC","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.3.log","game.3.log","524149","2026-08-09T18:57:22.317923+00:00","C71CB0486AFA5D6451086B8046CBC2DDE40960BE13E51029623A000BB51F68D9","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.4.log","game.4.log","524190","2026-08-09T18:57:21.720178+00:00","DAAD40569C1D3FE0C7F52C5B2CCBDA04FB8E585137B77FF17DE09D390E5CAB21","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.5.log","game.5.log","524247","2026-08-09T18:57:21.060387+00:00","4D231E8DA4F3B0600A5744C54D410D409083EBCB1C2E14521AE22D8C71949692","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","450105","2026-08-09T18:57:25.574680+00:00","CE0032C96300A9D242A3FA94871B36DD83BA1ACD3954D6F2BBA11E98E9223D26","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\graphics.log","graphics.log","0","2026-08-09T18:49:41.061358+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-09T18:50:16.038615+00:00","23033C898FF361CB36E8E4D6C0BA82DE9191DB5C5C270C0F4CECD352C1BD3338","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\memory.log","memory.log","0","2026-07-28T18:42:42.070659+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\message.log","message.log","0","2026-07-28T18:42:42.063319+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\multiplayer.log","multiplayer.log","0","2026-08-09T18:49:41.063359+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\pdxsdk.log","pdxsdk.log","0","2026-08-09T18:49:47.080593+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\setup.log","setup.log","0","2026-07-28T18:42:42.070659+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.1.log","system.1.log","1101","2026-08-07T13:49:21.999498+00:00","C81F86A66E1F43EE4069904E07D731F2CDE609D77579AA66BBE1401CEDE5A26C","changed_or_rotated","rotated_to:system.2.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.2.log","system.2.log","1101","2026-08-07T13:31:14.319027+00:00","B05F91933C8390ECE412893522AE968FC2BF8A41D29EDAA3FD22396F733A8881","changed_or_rotated","rotated_to:system.3.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.3.log","system.3.log","1101","2026-08-07T13:15:38.466222+00:00","8A069C1FFE609C7905E295D023DE35E3CAD211583A5E6AA5F8DB39B7BDEDB83B","changed_or_rotated","rotated_to:system.4.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.4.log","system.4.log","1100","2026-08-05T16:59:48.966228+00:00","A69B4117FC5CFEBBB4DD61EE6DFEC099C760737AB45B8E9ACA19741644241266","changed_or_rotated","rotated_to:system.5.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.5.log","system.5.log","1100","2026-08-04T23:14:54.693847+00:00","89CFC4FBF822AE41F2B8FFF154AD61A288BF9D3506C2C6ECE9BAB7AC34789161","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-09T18:50:09.320306+00:00","6BBC002D3D017E454349544691F574B8904D1A17F6544E9B224784C7B394BEE2","changed_or_rotated","rotated_to:system.1.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ui_animation_stats.log","ui_animation_stats.log","0","2026-08-09T18:49:41.090462+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.1.log","warning.1.log","6234","2026-08-07T13:49:22.349686+00:00","EB8DE8556E7377F940078C7B5D0D6F3BCDD69D5F822827B66A52DF53A3D786F1","changed_or_rotated","rotated_to:warning.2.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.2.log","warning.2.log","6234","2026-08-07T13:31:14.688132+00:00","E7C3A98AC574AE554380DD1F3E8BCE6773B07C772F1E9C35731DFD93E2FE0239","changed_or_rotated","rotated_to:warning.3.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.3.log","warning.3.log","6234","2026-08-07T13:15:38.789837+00:00","BEAF88D882D5279B91FA2285E2E68B137C94744B24A2C9A5B27EF32F3FE65CC4","changed_or_rotated","rotated_to:warning.4.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.4.log","warning.4.log","6234","2026-08-05T16:59:49.596245+00:00","FA363323E9DBA2EE7C0E14E094B1E4472B1CB77807254DB68185B667F40FC711","changed_or_rotated","rotated_to:warning.5.log",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.5.log","warning.5.log","6234","2026-08-04T23:14:55.169377+00:00","637059AAE8ADE03148E4B392CE7F6437AA73CEA66490CAC3A7CD7626CC262A7A","changed_or_rotated","evicted_from_rotation_window",""
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-09T18:50:09.941550+00:00","D03498223F404C3EE0AD7373CE76B125094664AFE4C4CF2FEF966494A11449D4","changed_or_rotated","rotated_to:warning.1.log",""
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\ai.log","ai.log","0","2026-08-09T21:07:24.762412+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\checksum.log","checksum.log","0","2026-08-09T21:07:24.786783+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.1.log","code_revisions.1.log","1133","2026-08-09T18:49:41.091460+00:00","A080AAF18DC4A8A7FD3D8AA885F1B4970E9F5192FD0663128AFC785239027B57","changed_or_rotated","rotated_from:code_revisions.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.2.log","code_revisions.2.log","1133","2026-08-07T13:49:07.269033+00:00","B35D67F2CD2A9DF0DD7358005DCFDAFF9337D257A9922E501AB2686154B00031","changed_or_rotated","rotated_from:code_revisions.1.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.3.log","code_revisions.3.log","1133","2026-08-07T13:30:59.547660+00:00","D95707EECC5F9885EBAAB1262224741BE32CE239CE3E55FA5259305BF6592126","changed_or_rotated","rotated_from:code_revisions.2.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.4.log","code_revisions.4.log","1133","2026-08-07T13:15:16.455860+00:00","D9327718FA447890225C996953EA41C94FC65602A54FA87ED24FE0DFBA4DCE72","changed_or_rotated","rotated_from:code_revisions.3.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.5.log","code_revisions.5.log","1133","2026-08-05T16:59:01.987932+00:00","628058CF61119A4BBD7FF6238E2AE8D42C3BA01B16D89C26E210BFED47232E68","changed_or_rotated","rotated_from:code_revisions.4.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-09T21:07:24.788782+00:00","AD3C5FDDA146A272CC84711512E2227279C797B5A0A6A9C9B4EA910487BB8E30","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.1.log","custom_automated_stats.1.log","489","2026-08-09T18:56:27.676699+00:00","F06AD089A05CEF80B5C36439ACECE8DFA7D51389E74BFB88DDD9C96F3BF8FE8B","changed_or_rotated","rotated_from:custom_automated_stats.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.2.log","custom_automated_stats.2.log","488","2026-08-07T13:51:51.615086+00:00","B8C2DDD37748D71472407D66DCA44459012BAC8714374D24BB56534575EAF2AC","changed_or_rotated","rotated_from:custom_automated_stats.1.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.3.log","custom_automated_stats.3.log","489","2026-08-07T13:35:14.513684+00:00","57E0192C5D10DF690A1A5FC6C27A92267748D7D1D79782F4982A1A6201196D38","changed_or_rotated","rotated_from:custom_automated_stats.2.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.4.log","custom_automated_stats.4.log","489","2026-08-07T13:24:23.389890+00:00","492F1F969D63E6218C87F4598BF39D6B51765932B480A3410458E4E28B729645","changed_or_rotated","rotated_from:custom_automated_stats.3.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.5.log","custom_automated_stats.5.log","489","2026-08-05T17:06:59.691978+00:00","929A4B6A3200FD1C28016D1A408FD946384D862F2373EFEED744E32F117C6D08","changed_or_rotated","rotated_from:custom_automated_stats.4.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","489","2026-08-09T21:15:04.168728+00:00","49247B095A771D92B39ABF828EDCEF7870EEFBFB812E84E2A7895A2D4D1022A7","changed_or_rotated","new_session_content","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\database_conflicts.log","database_conflicts.log","0","2026-07-28T18:42:42.067409+00:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","unchanged","",""
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.1.log","debug.1.log","40822","2026-08-09T21:07:44.562119+00:00","D2A5C169C60D4F21DD2399088C9478ABB552D1C4DFD35E2AF26912B3759AC2EE","changed_or_rotated","new_session_content","fresh_mount_segment"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.2.log","debug.2.log","483397","2026-08-09T18:57:31.244364+00:00","BE0139EC81778539952845672F3F065B9403575E71EF5FE402615D9623ADF40C","changed_or_rotated","rotated_from:debug.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.3.log","debug.3.log","67866","2026-08-09T18:49:54.774868+00:00","158B750AEB15C5C00F13A97CEEA5B72E7EBFD22FC8AA880425F783AB5FFF9467","changed_or_rotated","rotated_from:debug.1.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.4.log","debug.4.log","456375","2026-08-07T15:28:07.733196+00:00","3A749A9263927EE417057418E37F8CAEDC4DF7DF486D8595222A95FDE1790C1B","changed_or_rotated","rotated_from:debug.2.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.5.log","debug.5.log","524223","2026-08-07T15:07:40.346468+00:00","02F1870E690A57687FF9435079142330154CE9375418134F20EDF8F70CC0A3CC","changed_or_rotated","rotated_from:debug.3.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","414904","2026-08-09T21:18:15.749661+00:00","AF31A9F15398F729AF9816043869F889CA31B8934FD0BD94FBCB6A7917DA2CAF","changed_or_rotated","new_session_content","fresh_diagnostic_segment"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.1.log","dedicated_server.1.log","3848","2026-08-09T18:57:23.145141+00:00","0298E891DFDE67E77DD2DF961A3489E2193BE1132C933254D8A9EB0A86BBBBB4","changed_or_rotated","rotated_from:dedicated_server.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.2.log","dedicated_server.2.log","457275","2026-08-07T15:27:52.932777+00:00","0C35A188BC67ACFE8495CB2C77EE497D18E13C317308D2BC7DFAD132E0DB68F0","changed_or_rotated","rotated_from:dedicated_server.1.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.3.log","dedicated_server.3.log","524250","2026-08-07T15:05:07.040161+00:00","E141340CF659AD7B8CBB92CE794883ABCF3BF55EBFB023BD9FB7F1FD35AAB147","changed_or_rotated","rotated_from:dedicated_server.2.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.4.log","dedicated_server.4.log","524245","2026-08-07T14:39:45.830383+00:00","F04F2580856FBB71DE55EC432CBC969FB2C7EFC0342D99FA728FAAECAE803EA7","changed_or_rotated","rotated_from:dedicated_server.3.log","session_log_or_rotation"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.5.log","dedicated_server.5.log","449637","2026-08-07T14:11:03.475643+00:00","B2707464B431BEFB94DCC3B76A8E45B40F2B62AE4A8F1E04B9EBBB75CE5448A7","changed_or_rotated","rotated_from:dedicated_server.4.log","session_log_or_rotation"
